
[Name]
Default Domain Default

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
3.17589722e+01, -8.50323391e+00, -1.28367783e+02, 8.46463372e-04, -2.34507932e-03, -6.80913683e-03, 1.94305275e-02, 8.73477664e-03, -1.50518995e-02
3.14142323e+01, -1.72465992e+01, -1.27081009e+02, 8.38547293e-03, -5.40363137e-03, 1.41514454e-03, -1.78460069e-02, 1.44145880e-02, 1.50708780e-02
3.12615166e+01, -1.71517296e+01, -1.27126732e+02, 1.41674243e-02, -8.93280841e-03, -1.08796835e-03, -9.79715027e-03, 7.62248179e-03, 9.48029198e-03
3.13700390e+01, -1.72275200e+01, -1.27264137e+02, 6.67380216e-03, -7.38202874e-03, 5.98242041e-04, -1.94906108e-02, 1.35243339e-02, 1.57233737e-02
2.81331806e+01, -1.51541958e+01, -1.27678558e+02, 3.44344997e-03, -8.14438891e-03, 3.29706032e-04, 2.40031723e-02, -3.85968871e-02, 1.45461410e-02
2.82949696e+01, -1.51666584e+01, -1.27781616e+02, 3.40181286e-03, -2.88517005e-03, 2.67730933e-03, 2.09786855e-02, -3.52825150e-02, 1.35438358e-02
2.82538586e+01, -1.52910175e+01, -1.27651398e+02, -5.45040378e-03, -6.55829674e-03, 3.79244040e-04, 1.80499423e-02, -3.22457254e-02, 1.79394912e-02
3.00909729e+01, -1.38404512e+01, -1.27754593e+02, -3.59627255e-03, 2.25981716e-02, 2.13845223e-02, 1.31204596e-03, 6.71606064e-02, 8.59270170e-02
2.72425041e+01, -1.12333755e+01, -1.28022339e+02, 1.57223046e-02, 1.73379406e-02, -1.87558439e-02, 5.35541698e-02, 7.37649724e-02, -4.46823351e-02
2.73676739e+01, -1.11096478e+01, -1.28091888e+02, 2.98141204e-02, 2.87814494e-02, -2.05259323e-02, 6.70972541e-02, 7.59383366e-02, -5.32616898e-02
2.74230251e+01, -1.12343102e+01, -1.27968231e+02, 4.31450941e-02, 3.88295688e-02, -2.39202026e-02, 8.46473724e-02, 8.72981027e-02, -5.79845421e-02
2.97071438e+01, -1.64404449e+01, -1.27242393e+02, 4.01843200e-03, -1.61927426e-03, -2.75743403e-03, 3.07811471e-03, 4.71663952e-04, -7.74914678e-03
2.98177910e+01, -1.64560280e+01, -1.27385712e+02, 6.49000518e-04, -8.73180479e-03, -5.24883717e-03, -1.19086038e-02, 7.62143265e-03, -6.50205743e-03
2.98892574e+01, -1.65258522e+01, -1.27230171e+02, 4.19938844e-03, -5.76471537e-03, -2.02012435e-03, 3.73317907e-03, -1.42758770e-03, 1.85502844e-03
3.21520653e+01, -1.45002871e+01, -1.27617996e+02, 1.38436025e-02, 5.51720848e-03, -1.15845297e-02, -1.79412719e-02, -5.93084656e-03, -3.09699178e-02
3.21426773e+01, -1.44399939e+01, -1.27434608e+02, 1.73809882e-02, 5.70341421e-04, -1.99134555e-02, -7.98940286e-03, -7.24266702e-03, -4.34980504e-02
3.22667770e+01, -1.45074186e+01, -1.27524239e+02, 7.57682696e-03, 4.98618511e-03, -5.78965759e-03, -1.24818580e-02, -2.41193594e-03, -3.43191028e-02
2.60996914e+01, -1.41790867e+01, -1.26663368e+02, -1.85524416e-03, -1.19139208e-02, 4.82354965e-03, -8.71377811e-03, -1.11559685e-02, 6.09190278e-02
2.59828491e+01, -1.40499725e+01, -1.26722481e+02, -2.58234399e-03, -1.05900308e-02, 9.64553328e-04, -1.26760947e-02, -9.19708889e-03, 4.88330089e-02
2.61156120e+01, -1.41409426e+01, -1.26793449e+02, -7.17959413e-03, -1.02085397e-02, 8.02171137e-03, -1.42465672e-02, -1.69648640e-02, 5.55260666e-02
2.34029331e+01, -1.14503622e+01, -1.27123810e+02, 1.68822892e-02, -5.61612612e-03, -1.39257856e-04, -1.40743516e-02, 4.10622032e-03, 3.47525673e-03
2.32498016e+01, -1.15202808e+01, -1.27019211e+02, 1.65354870e-02, -3.60274035e-03, -3.75359575e-03, -2.15228125e-02, 4.18133009e-03, 5.95864467e-03
2.32321815e+01, -1.13461809e+01, -1.27105721e+02, 7.44163617e-03, -4.95859422e-04, 3.42591992e-03, -1.45115815e-02, -3.40878917e-03, 6.03292370e-03
2.73676491e+01, -8.79549599e+00, -1.27015594e+02, 5.22812922e-03, -3.77242034e-03, -2.31239293e-03, -1.63797401e-02, -3.03908531e-03, -2.16470025e-02
2.75345917e+01, -8.75349617e+00, -1.27006027e+02, 8.02553631e-03, -2.65265838e-03, -9.19639785e-03, -1.34912189e-02, 4.07517934e-03, -3.61030735e-02
2.74484386e+01, -8.76637840e+00, -1.27154892e+02, 5.26582869e-03, 3.92259244e-05, -8.15977063e-03, -1.58446115e-02, -3.82530293e-03, -3.73465233e-02
3.02773094e+01, -1.66801491e+01, -1.26814323e+02, 2.08965130e-02, -6.68278057e-03, -9.57609527e-03, 3.65952849e-02, -6.67521497e-03, 2.34032404e-02
3.04291687e+01, -1.66845284e+01, -1.26704773e+02, 2.20739208e-02, -1.07075749e-02, -5.58943907e-03, 4.35760133e-02, -1.30401300e-02, -7.01506389e-03
3.02657146e+01, -1.66475143e+01, -1.26639290e+02, 8.58757086e-03, -4.12138086e-03, 9.10330855e-04, 3.04295514e-02, -4.37921332e-03, 2.03757524e-03
3.16271763e+01, -1.68215027e+01, -1.26213089e+02, 7.31674349e-03, -1.19799040e-02, 7.84095563e-03, -3.68665084e-02, 2.34431308e-02, 1.50045694e-03
3.16909428e+01, -1.66701717e+01, -1.26105614e+02, 3.77119659e-03, -9.73350741e-03, 5.89293614e-03, -4.40543666e-02, 2.15231851e-02, -1.19859760e-03
3.14785767e+01, -1.66841888e+01, -1.26164291e+02, 1.28754070e-02, -7.54448178e-04, -1.15984278e-02, -2.52487697e-02, 1.03798350e-02, -1.01751368e-03
3.20749474e+01, -1.61681061e+01, -1.25916321e+02, 2.62545480e-04, -8.66572931e-03, 5.40832570e-03, -5.55903018e-02, 2.84839398e-03, 1.61750533e-03
3.20119514e+01, -1.63278828e+01, -1.25921738e+02, -5.29913185e-03, -7.61051138e-04, 3.94505309e-03, -6.11950383e-02, 9.41303466e-03, -2.07345886e-03
3.21884842e+01, -1.62923489e+01, -1.25916039e+02, -1.28359450e-02, 1.44284067e-03, 1.23402635e-02, -7.93010071e-02, 9.78962053e-03, 9.69457719e-03
3.22549324e+01, -1.61399288e+01, -1.25929619e+02, -8.38259980e-03, 1.80422812e-05, 7.51129584e-03, -8.73709843e-02, 6.91446895e-03, 1.40529452e-02
3.22409668e+01, -1.56873293e+01, -1.26002449e+02, 8.98497179e-03, -9.77073796e-03, -4.29920666e-03, 1.36733660e-02, -1.54849133e-02, 7.35924055e-04
3.23755226e+01, -1.58129482e+01, -1.25997375e+02, -6.39226008e-03, 9.83079895e-04, 3.43847694e-03, -3.61386836e-02, 5.24026691e-04, 1.19118113e-02
3.24112854e+01, -1.56448689e+01, -1.26072937e+02, -7.57226907e-03, -1.64563337e-03, -2.83835549e-03, -1.43261850e-02, -2.55339104e-03, 7.99581781e-03
3.14399452e+01, -1.56319065e+01, -1.25719307e+02, 2.63107698e-02, -1.67672802e-02, -1.40121942e-02, 6.85312152e-02, -5.44547252e-02, -4.12710272e-02
3.14469700e+01, -1.57960596e+01, -1.25769478e+02, 5.29276542e-02, -4.56419289e-02, -1.77285168e-02, 9.88825336e-02, -8.21979046e-02, -5.03820702e-02
3.15868702e+01, -1.56854553e+01, -1.25794006e+02, 3.74606438e-02, -3.20881233e-02, -1.59118418e-02, 8.85771066e-02, -7.11174905e-02, -4.14028168e-02
3.15661716e+01, -1.55105543e+01, -1.25776329e+02, 3.36773098e-02, -2.57688034e-02, -1.79163776e-02, 8.66333246e-02, -6.52354509e-02, -4.59038019e-02
2.66807003e+01, -1.47621250e+01, -1.25828247e+02, 4.90905542e-04, -4.12955927e-03, 1.04836014e-03, -2.24378109e-02, 2.00423468e-02, 1.81558926e-03
2.67332001e+01, -1.46970758e+01, -1.25666283e+02, 5.50203549e-04, 4.36750799e-03, -2.97069736e-03, -3.30826268e-02, 3.13347206e-02, 3.71019333e-03
2.65896931e+01, -1.46238880e+01, -1.25740791e+02, -5.30952355e-04, -1.52557564e-03, -1.73080154e-03, -2.53045820e-02, 2.75472086e-02, 2.05352204e-03
2.79961300e+01, -1.17195005e+01, -1.25963150e+02, -7.32734567e-03, -3.70278098e-02, 7.59719405e-03, 1.55178839e-02, -8.17724094e-02, -1.30616352e-02
2.79210224e+01, -1.17459927e+01, -1.25785080e+02, 2.17532273e-03, -3.94047089e-02, 2.58314656e-03, 2.72484217e-02, -9.40740407e-02, -8.85907933e-03
2.80051575e+01, -1.18862619e+01, -1.25885063e+02, 1.23051740e-02, -5.96684366e-02, 6.56455057e-03, 4.47006635e-02, -1.15726262e-01, -4.82091634e-03
1.63298111e+01, -1.16509075e+01, -1.25261063e+02, 4.25849035e-02, 1.50388740e-02, 2.29413301e-04, 1.05493486e-01, 1.84977073e-02, -4.12113965e-03
1.61578655e+01, -1.16988001e+01, -1.25122665e+02, 3.92694958e-02, 2.24689897e-02, 1.35777367e-03, 9.94018838e-02, 2.61876639e-02, -1.82175718e-03
1.61129284e+01, -1.16874628e+01, -1.25333527e+02, 1.86684933e-02, 2.46348251e-02, 2.93540163e-03, 8.42926428e-02, 2.40045357e-02, -3.29143833e-03
2.79387436e+01, -1.11985245e+01, -1.25851845e+02, 1.10667609e-02, 2.19056867e-02, -1.48749631e-02, 4.75185066e-02, 4.18953001e-02, -5.24609908e-02
2.79811745e+01, -1.13754559e+01, -1.25933090e+02, -5.51778777e-03, 1.31270327e-02, -1.19282454e-02, 2.84550395e-02, 2.08356045e-02, -4.42851223e-02
2.80555038e+01, -1.12122812e+01, -1.25997185e+02, 1.32556949e-02, 2.78660804e-02, -1.12168612e-02, 4.93188985e-02, 4.74189334e-02, -4.84308414e-02
1.61144562e+01, -1.12627602e+01, -1.26167259e+02, 1.49309887e-02, 8.78712814e-03, 3.18269897e-03, 5.01522869e-02, 7.33188540e-03, -1.93892559e-03
1.59632998e+01, -1.11222486e+01, -1.26324387e+02, 6.86654821e-03, 8.74342676e-03, 1.02241440e-02, 3.99396345e-02, 3.60386982e-03, -1.30901462e-03
1.62373676e+01, -1.11092100e+01, -1.26303650e+02, 1.56651847e-02, -4.80484741e-04, 2.91636377e-03, 4.92397510e-02, 4.24790941e-03, 2.18391512e-03
1.63522911e+01, -1.12492294e+01, -1.26150002e+02, 2.14766972e-02, 1.17575529e-03, 4.52908408e-03, 5.87288253e-02, 5.25639486e-03, 1.48965139e-03
2.87095966e+01, -1.00582428e+01, -1.26124374e+02, 9.56075080e-03, 7.34356418e-03, -1.69567612e-03, 3.28378975e-02, 3.84900868e-02, -1.61271989e-02
2.85605640e+01, -1.00073633e+01, -1.26038345e+02, 1.03179645e-02, 1.30142029e-02, -5.47157647e-03, 3.75199877e-02, 5.35487011e-02, -2.00361498e-02
2.85930290e+01, -1.01755304e+01, -1.26070053e+02, 1.33839259e-02, 1.83702409e-02, -6.45547546e-03, 4.30878960e-02, 5.26579171e-02, -1.87005736e-02
2.81398087e+01, -1.00315266e+01, -1.25825569e+02, 8.41689203e-03, 1.93315595e-02, -4.90386924e-03, 3.92407998e-02, 7.72486702e-02, -2.30956655e-02
2.80243053e+01, -1.01406240e+01, -1.25765297e+02, 1.25055276e-02, 2.57474165e-02, -5.71344560e-03, 4.65359055e-02, 8.46484229e-02, -2.64500324e-02
2.81797066e+01, -1.01933174e+01, -1.25834709e+02, 1.07478341e-02, 2.44816709e-02, -4.30539390e-03, 4.50700186e-02, 8.04590434e-02, -2.19680164e-02
2.40047684e+01, -9.44674110e+00, -1.26502037e+02, 1.66657977e-02, -8.53705499e-03, -1.12301856e-02, 4.83500361e-02, -3.20594124e-02, -3.69567499e-02
2.39230766e+01, -9.35764980e+00, -1.26372864e+02, 7.03584636e-03, -4.09509521e-03, -1.48468567e-02, 4.69308048e-02, -3.12923416e-02, -3.74570377e-02
2.40956287e+01, -9.39577007e+00, -1.26354134e+02, 2.77961772e-02, -1.92073565e-02, -1.89019982e-02, 6.53290004e-02, -3.48193534e-02, -4.35774624e-02
1.71483727e+01, -8.77176952e+00, -1.25933800e+02, 1.80647448e-02, -2.59832875e-03, 1.20736100e-03, 5.17029874e-02, -1.04991929e-03, -1.71488838e-03
1.72573223e+01, -8.68924904e+00, -1.25776772e+02, 1.71527117e-02, -1.00466562e-03, -2.37844489e-03, 6.01051487e-02, -1.19274110e-03, -3.45383841e-03
1.73553143e+01, -8.77711678e+00, -1.25952843e+02, 9.47466493e-03, -3.55421356e-03, 2.85078166e-03, 5.03283851e-02, -1.62117532e-04, -1.90158654e-03
1.72350845e+01, -8.88441467e+00, -1.26091095e+02, 1.61316209e-02, -2.81452155e-03, 4.19251900e-03, 5.23557514e-02, -1.67968671e-03, -1.90028700e-03
2.93610134e+01, -1.46656351e+01, -1.25169754e+02, 6.76475419e-03, -7.74261425e-05, -4.03865566e-03, 3.44498530e-02, -2.64991838e-02, -8.23018234e-03
2.93996010e+01, -1.48456030e+01, -1.25204727e+02, 1.52358720e-02, -1.32825682e-02, -1.12572238e-02, 4.95862477e-02, -4.79745343e-02, -1.22184763e-02
2.95395050e+01, -1.47112417e+01, -1.25208855e+02, 3.67098046e-03, -1.03715830e-03, 4.88262018e-03, 3.80011201e-02, -3.23600732e-02, -6.88800402e-03
2.94932308e+01, -1.45399885e+01, -1.25212349e+02, 1.52077386e-02, -3.60445282e-03, 4.89604054e-03, 4.42194939e-02, -3.05567123e-02, -8.27801134e-03
2.90166283e+01, -1.45707684e+01, -1.25085747e+02, 2.40598097e-02, -1.75149553e-02, -7.31396535e-03, 5.51246628e-02, -6.30968139e-02, -2.11338960e-02
2.90353355e+01, -1.47475939e+01, -1.25128036e+02, 2.52211355e-02, -3.06563955e-02, -9.91974957e-03, 5.71062602e-02, -7.66441450e-02, -2.75814645e-02
2.91836071e+01, -1.46206131e+01, -1.25130890e+02, 2.00808384e-02, -1.78233590e-02, -4.63479431e-03, 4.92054224e-02, -5.36801592e-02, -1.52991358e-02
2.86028633e+01, -1.32471781e+01, -1.25274391e+02, 3.75391846e-03, -1.64093226e-02, -1.30324513e-02, 4.91790064e-02, -4.75649387e-02, -2.46914080e-03
2.85926342e+01, -1.33902130e+01, -1.25167847e+02, 1.36669688e-02, -1.46120619e-02, -5.73139824e-03, 5.16024493e-02, -5.44239990e-02, -1.58295315e-03
2.87304764e+01, -1.33794680e+01, -1.25276848e+02, 1.47521198e-02, -6.46286272e-03, -4.76100948e-03, 5.00935838e-02, -4.65731286e-02, -3.78290052e-03
2.53626080e+01, -1.28692713e+01, -1.25051132e+02, 3.94191733e-03, -5.20414207e-03, 2.67051649e-03, -1.94614548e-02, 2.55904589e-02, 4.14373633e-03
2.52791176e+01, -1.29963875e+01, -1.25203438e+02, 6.73354510e-03, -2.28857761e-03, 7.64441851e-04, -2.45220885e-02, 2.98303496e-02, 6.33133389e-03
2.54522038e+01, -1.30538387e+01, -1.25119904e+02, 6.25719083e-04, -3.28130811e-03, 3.76471528e-03, -2.64578238e-02, 3.14417146e-02, 5.20523498e-03
2.32543602e+01, -1.22531691e+01, -1.25963806e+02, 2.11351998e-02, 7.17065204e-03, 4.65950556e-03, -1.58717670e-02, 5.07972483e-03, -2.75543286e-03
2.34343891e+01, -1.23133135e+01, -1.25963242e+02, 7.20736245e-03, -9.62102227e-03, 9.79137374e-04, -2.69574393e-02, 9.12194885e-03, -2.04353407e-03
2.33352261e+01, -1.22865181e+01, -1.25801338e+02, 7.96463992e-03, -1.33096902e-02, -6.03705086e-03, -1.67896487e-02, 5.82766160e-03, -1.61516052e-02
2.63049927e+01, -1.04676046e+01, -1.25009163e+02, -1.38774619e-03, 1.43751118e-03, -9.96696949e-03, -4.34144586e-02, 4.04088832e-02, -3.76703055e-03
2.61587925e+01, -1.05792484e+01, -1.24922401e+02, 7.20423320e-03, 6.24634791e-03, 2.26856861e-03, -4.64210697e-02, 4.17800955e-02, -1.26994716e-03
2.63629341e+01, -1.06548223e+01, -1.24956467e+02, -2.24307296e-03, 1.11687286e-02, 9.12880339e-03, -5.56476153e-02, 4.84088287e-02, 3.54079017e-03
2.53555660e+01, -1.00612602e+01, -1.24916153e+02, 1.70063451e-02, 3.80060379e-03, -7.80595839e-03, 5.21172658e-02, 1.22093200e-03, -2.41029318e-02
2.54165764e+01, -1.02484426e+01, -1.24806030e+02, 8.13247915e-03, -7.55425135e-04, -1.79992169e-02, 4.57230583e-02, -1.02188205e-03, -1.95528883e-02
2.55423203e+01, -1.01341867e+01, -1.24937439e+02, 1.25057558e-02, 1.25513440e-02, 3.98033205e-03, 4.49201241e-02, 2.82565667e-03, -1.96466576e-02
2.47457352e+01, -9.41155434e+00, -1.25804344e+02, 2.13375576e-02, 1.50027359e-03, -6.26042578e-03, 5.13785221e-02, -1.21861836e-02, -2.21860316e-02
2.48378086e+01, -9.46961021e+00, -1.25626549e+02, 3.91681530e-02, -1.34533003e-03, -1.16966330e-02, 7.69838020e-02, -1.67134777e-02, -2.65911538e-02
2.49519806e+01, -9.45721149e+00, -1.25817566e+02, 2.89738455e-05, 1.02683799e-02, 5.39559592e-03, 4.28635627e-02, -7.86472950e-03, -1.49224913e-02
2.24595242e+01, -8.83350658e+00, -1.25133003e+02, -4.01006291e-05, 4.07198956e-03, -1.89110264e-03, -3.77188995e-02, 7.51607632e-03, -1.63868982e-02
2.26542912e+01, -8.87259865e+00, -1.25108284e+02, 5.31672267e-04, 7.47962249e-03, 1.04490982e-03, -2.90569272e-02, 1.37368264e-02, -1.91312674e-02
2.25965919e+01, -8.81784153e+00, -1.25280167e+02, -4.59388690e-03, 1.08979065e-02, 4.02591482e-04, -4.57431972e-02, 9.46708024e-03, -1.53022865e-02
2.77675266e+01, -1.32461367e+01, -1.24794350e+02, 4.14651586e-03, -2.18132343e-02, 5.11156721e-03, 2.30212566e-02, -7.64768422e-02, 1.12395482e-02
2.76661148e+01, -1.33988447e+01, -1.24739067e+02, 1.21272786e-03, -2.01047715e-02, 2.27171951e-03, 1.70064252e-02, -7.29531422e-02, 7.77496118e-03
2.78609715e+01, -1.34031267e+01, -1.24786896e+02, 7.00196298e-03, -2.47007906e-02, 1.07526416e-02, 2.21539661e-02, -7.92402476e-02, 1.27025945e-02
2.14429646e+01, -1.18623104e+01, -1.24872681e+02, 1.74352769e-02, -5.05242171e-03, -4.73384047e-03, 6.22023158e-02, -6.34430675e-03, -2.51994543e-02
2.15756741e+01, -1.18230152e+01, -1.24716270e+02, 1.29135903e-02, -7.05371052e-03, -5.25093218e-03, 5.16089536e-02, -9.55127459e-03, -2.59100720e-02
2.13859158e+01, -1.18132572e+01, -1.24684402e+02, 1.02560762e-02, -1.23488531e-02, -2.15224084e-03, 5.21798208e-02, -8.63626506e-03, -2.58539133e-02
2.31490250e+01, -9.30726910e+00, -1.24605721e+02, 1.06821954e-02, -5.83957043e-03, -3.73670831e-03, 4.51303981e-02, -1.47759579e-02, -1.95234839e-03
2.30144539e+01, -9.34745502e+00, -1.24482422e+02, 8.16574879e-03, -5.43413777e-03, -1.14687497e-03, 3.64344791e-02, -1.32214306e-02, -4.42243036e-04
2.31792564e+01, -9.42502022e+00, -1.24461594e+02, 3.28554818e-03, -7.82263640e-04, 4.00638347e-03, 3.20953242e-02, -1.13129131e-02, -8.24374438e-04
2.30395241e+01, -9.48740101e+00, -1.24365532e+02, 1.79809891e-02, -2.28764489e-03, 9.99845564e-04, 3.98202576e-02, -1.56927742e-02, -5.55448816e-04
2.36452255e+01, -9.24260998e+00, -1.24938019e+02, 1.44631676e-02, -9.78374155e-04, -6.61672419e-03, 3.33643965e-02, -5.89465536e-03, -4.22963779e-03
2.34813881e+01, -9.25824261e+00, -1.24836967e+02, 1.11708194e-02, -3.45883588e-03, -3.28171393e-03, 3.27732861e-02, -7.96255469e-03, -2.38630339e-03
2.36285419e+01, -9.35094261e+00, -1.24777176e+02, 1.27031188e-02, -3.38095683e-03, -2.47324980e-03, 3.73292416e-02, -8.67622998e-03, -5.00320503e-03
2.05456448e+01, -1.11316280e+01, -1.23732956e+02, 1.00413356e-02, -2.51427945e-03, 8.87507224e-04, -1.62012279e-02, -6.14441279e-03, -3.32886353e-03
2.06011410e+01, -1.12841787e+01, -1.23852448e+02, 1.01402067e-02, -3.62355798e-03, 1.77263678e-03, -1.36295641e-02, -7.46515533e-03, -5.89217944e-03
2.07240353e+01, -1.11643190e+01, -1.23766937e+02, 8.27261247e-03, -6.30244426e-03, 6.69750711e-03, -2.05701832e-02, -9.11745522e-03, -5.29374741e-03
2.02747364e+01, -1.13724642e+01, -1.23919037e+02, 1.08129950e-02, 1.64597144e-03, -2.91409367e-03, -6.29893225e-03, -1.02608069e-03, -8.20877263e-04
2.03248482e+01, -1.15260439e+01, -1.24091393e+02, 1.32063134e-02, 9.35009774e-03, -7.36176968e-03, 9.16414254e-04, -6.59520039e-04, -8.61954060e-04
