
[Name]
Default Domain Default

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
3.30122681e+01, -8.92630863e+00, -1.30261139e+02, 9.06161685e-03, 3.36166681e-03, -5.89046953e-03, 1.66158434e-02, 1.32265443e-03, -4.07992192e-02
3.29009361e+01, -8.98188114e+00, -1.30153137e+02, 1.13294064e-03, 7.78226415e-03, -7.22955028e-03, 1.34859364e-02, -9.26520617e-04, -3.86916809e-02
3.28901215e+01, -9.03440857e+00, -1.30308685e+02, 1.87026453e-03, 2.52835266e-03, -3.45648872e-03, 6.49896124e-03, -9.27872374e-04, -3.65215950e-02
3.30015945e+01, -8.97149563e+00, -1.30414963e+02, 5.28722210e-03, -1.22362410e-03, -4.10747062e-03, 7.07317609e-03, 7.54940032e-04, -3.73680331e-02
3.14000359e+01, -6.85261059e+00, -1.29982422e+02, 1.21839372e-02, -2.07247725e-03, -5.69657702e-03, -3.06181516e-03, 4.04761452e-03, -2.97534056e-02
3.15021515e+01, -6.86610126e+00, -1.29843994e+02, 7.07103079e-03, 6.15053810e-03, -1.21929459e-02, -7.86046949e-05, 1.41297542e-02, -4.38886732e-02
3.15685825e+01, -6.79009485e+00, -1.29995667e+02, -1.09873246e-03, 3.24502820e-03, 6.02496963e-04, -6.98522897e-03, 6.41880790e-03, -2.97813062e-02
3.13344193e+01, -9.75005245e+00, -1.29000702e+02, 9.18172020e-03, 2.58257147e-03, -3.46993422e-03, 4.08374257e-02, 2.69751269e-02, -3.65363955e-02
3.12220345e+01, -9.83172703e+00, -1.28926620e+02, 2.85185035e-03, 1.92677462e-03, -1.00422930e-03, 3.13180983e-02, 1.98103152e-02, -2.71968246e-02
3.12461929e+01, -9.83982563e+00, -1.29095551e+02, -2.51774909e-04, 5.43606351e-04, -3.66941281e-03, 2.85020210e-02, 1.79138109e-02, -2.71998737e-02
3.25926552e+01, -8.25264454e+00, -1.29047623e+02, 9.53201111e-03, 5.38946455e-03, -2.24527670e-03, 2.79446281e-02, 1.42196221e-02, -2.56463755e-02
3.25905190e+01, -8.43042850e+00, -1.29078506e+02, 6.80973008e-03, 3.04027321e-03, -8.89027398e-03, 3.00764311e-02, 1.18452273e-02, -2.91790366e-02
3.26960373e+01, -8.33174324e+00, -1.29174011e+02, 9.37907584e-03, 2.87569338e-03, -7.76946684e-03, 3.09531130e-02, 1.48164509e-02, -3.10415458e-02
3.28045464e+01, -8.23983669e+00, -1.29278015e+02, 4.53417841e-03, 4.96925274e-03, -1.12809883e-02, 3.69278453e-02, 1.97289810e-02, -3.70302610e-02
3.29278946e+01, -8.15441322e+00, -1.29395828e+02, 1.42164435e-02, 6.07854163e-04, -1.03881175e-03, 3.49893123e-02, 1.81618799e-02, -3.59721594e-02
3.28155594e+01, -8.05914974e+00, -1.29260788e+02, 3.57829878e-04, 2.23041116e-03, -8.34312942e-03, 3.30400690e-02, 1.80949327e-02, -3.33040431e-02
3.14101677e+01, -7.36269617e+00, -1.28859650e+02, 7.47150276e-03, -2.53958674e-03, -1.11450274e-02, 7.29761552e-03, 2.07283106e-02, -2.74934433e-02
3.14689808e+01, -7.48575354e+00, -1.28738907e+02, 7.20174378e-03, 3.50721902e-03, -7.24422233e-03, 8.91021546e-03, 2.35970821e-02, -2.69427933e-02
3.15797253e+01, -7.39950705e+00, -1.28852402e+02, 1.54501176e-03, 5.70958888e-04, -4.64425236e-03, 5.48228342e-03, 2.05919333e-02, -2.46437732e-02
3.08263149e+01, -1.45010195e+01, -1.28151642e+02, 2.30611060e-02, -3.22841154e-03, 1.68141152e-03, 8.55976567e-02, -1.00500714e-02, 1.47177707e-02
3.09703979e+01, -1.44375715e+01, -1.28071136e+02, 1.54550914e-02, -1.10952253e-03, 2.32874369e-03, 7.42118210e-02, -7.10122893e-03, 1.60767790e-02
3.09787865e+01, -1.45855474e+01, -1.28171509e+02, 2.91233566e-02, -4.88466583e-03, 1.44226011e-04, 9.01722759e-02, -1.17866602e-02, 1.21184830e-02
3.21768990e+01, -1.49867544e+01, -1.28356613e+02, 2.37614452e-03, -4.31818468e-03, -4.05081175e-03, -3.49063464e-02, -2.57937033e-02, -2.80169062e-02
3.21052704e+01, -1.48803473e+01, -1.28238983e+02, 8.12842324e-03, -4.43383213e-03, -8.24539457e-03, -1.01378886e-02, -2.58887298e-02, -2.98795700e-02
3.22754250e+01, -1.48933382e+01, -1.28246536e+02, 2.65588216e-03, -4.71033854e-03, -6.78055547e-03, -2.93369219e-02, -2.92362124e-02, -4.06150185e-02
2.99230499e+01, -1.38515491e+01, -1.27818710e+02, -9.33083054e-03, 1.92752667e-02, 1.02843884e-02, -1.35115217e-02, 6.32109269e-02, 7.39394054e-02
3.00636139e+01, -1.39611320e+01, -1.27901817e+02, 6.46076223e-04, 1.51089253e-02, 1.85983442e-02, 1.06368735e-02, 6.60618320e-02, 7.46915936e-02
2.98852119e+01, -1.39846230e+01, -1.27967964e+02, -5.00949845e-03, 1.97872687e-02, 2.51178499e-02, 6.15814328e-03, 7.35155046e-02, 7.61174038e-02
3.12184887e+01, -9.48576832e+00, -1.28246796e+02, 4.61522490e-03, 9.72683728e-03, -1.48838423e-02, 4.78178896e-02, 2.56571714e-02, -3.64843942e-02
3.10905571e+01, -9.59292698e+00, -1.28185425e+02, 5.47327194e-03, 7.01913610e-03, -9.17669758e-03, 4.34810817e-02, 2.42911521e-02, -3.31982113e-02
3.11728745e+01, -9.62827873e+00, -1.28335236e+02, 5.52913733e-03, 6.69538602e-03, -5.99355763e-03, 4.07063551e-02, 2.20472813e-02, -3.25872935e-02
3.13530521e+01, -7.92505980e+00, -1.28333939e+02, 4.85972129e-03, 9.36419517e-03, 6.21297921e-04, 1.30759599e-02, 2.46539004e-02, -2.04962064e-02
3.12098045e+01, -7.93297720e+00, -1.28286224e+02, 1.20929806e-02, 9.57815163e-03, -1.83831230e-02, 2.76306961e-02, 3.70493978e-02, -3.90765592e-02
3.13044701e+01, -8.04389954e+00, -1.28239807e+02, 6.51457859e-03, 3.59483203e-03, -8.30403529e-03, 2.16533132e-02, 2.83292141e-02, -2.78702397e-02
3.17357101e+01, -8.33209324e+00, -1.28366913e+02, 1.24668435e-03, 3.52606154e-03, -1.46097634e-02, 2.14493014e-02, 1.53695615e-02, -1.76593009e-02
3.16609612e+01, -8.42296410e+00, -1.28301208e+02, 2.92725931e-03, 6.26827066e-04, -9.87573434e-03, 2.10106689e-02, 1.30719077e-02, -1.58260390e-02
